station_name,Start_Year_Threshold,End_Year_Threshold,Actual_Start_Year,Actual_End_Year,Year_2018_In_Range,latitude,longitude,elevation,height_canopy_ETH,sd_height_canopy,height_canopy_field_information,Measurement height,IGBP long name,IGBP short name,Remarks
BE-Bra,2011-01-01,2020-01-01,1996-01-01,2020-01-01,True,51.30761,4.51984,32.0313339233398,23.0,7.0,26.0,40.0,Evergreen Needleleaf Forests,ENF,
BE-Dor,2011-01-01,2021-01-01,2011-01-01,2020-01-01,True,50.311874,4.968113,246.648345947265,4.0,4.0,0.1,1.5,Grasslands,GRA,*
BE-Vie,2010-01-01,2020-01-01,1996-01-01,2020-01-01,True,50.304962,5.998099,493.235198974609,35.0,7.0,33.0,52.0,Mixed Forests,MF,
CH-Cha,2006-01-01,2020-01-01,2005-01-01,2020-01-01,True,47.210222,8.410444,391.412322998046,5.0,5.0,1.0,2.0,Grasslands,GRA,*
CH-Dav,1997-01-01,2020-01-01,1997-01-01,2020-01-01,True,46.81533,9.85591,1657.42407226562,33.0,9.0,25.0,35.0,Evergreen Needleleaf Forests,ENF,
CH-Oe2,2008-01-01,2020-01-01,2004-01-01,2020-01-01,True,47.286417,7.73375,451.908020019531,1.5,0.0,1.0,2.0,Croplands,CRO,"Not found (approx based on crop rotation chart, wheat, barley, grassland) from https://www.swissfluxnet.ethz.ch/index.php/sites/site-info-ch-oe2/"
CZ-BK1,2011-01-01,2020-01-01,2004-01-01,2020-01-01,True,49.502075,18.536882,882.034484863281,25.0,8.0,17.0,25.5,Evergreen Needleleaf Forests,ENF,
CZ-RAJ,2012-01-01,2020-01-01,2012-01-01,2020-01-01,True,49.4437236,16.6965125,652.349609375,31.0,8.0,17.0,25.5,Evergreen Needleleaf Forests,ENF,
CZ-Stn,2014-01-01,2020-01-01,2010-01-01,2020-01-01,True,49.03597,17.9699,476.025207519531,13.0,0.0,13.0,22.0,Deciduous Broadleaf Forests,DBF,https://www.sciencedirect.com/science/article/pii/S0034425722004308
CZ-wet,2007-01-01,2020-01-01,2006-01-01,2020-01-01,True,49.0247,14.7704,1180.55493164062,1.0,0.0,0.3,2.0,Permanent Wetlands,WET,height_canopy from modelevaluation
DE-Geb,2001-01-01,2020-01-01,2001-01-01,2020-01-01,True,51.09973,10.91463,161.366485595703,1.0,0.0,1.0,2.0,Croplands,CRO,height_canopy from modelevaluation
DE-Gri,2004-01-01,2020-01-01,2004-01-01,2020-01-01,True,50.95004,13.51259,377.095275878906,5.0,4.0,0.21,3.0,Grasslands,GRA,*
DE-HoH,2015-01-01,2020-01-01,2015-01-01,2020-01-01,True,52.08656,11.22235,215.809295654296,32.0,8.0,13.0,22.0,Deciduous Broadleaf Forests,DBF,
DE-Obe,2008-01-01,2020-01-01,2008-01-01,2020-01-01,True,50.78666,13.72129,744.278015136718,27.0,8.0,20.5,25.5,Evergreen Needleleaf Forests,ENF,
DE-RuR,2012-01-01,2021-01-01,2011-01-01,2020-01-01,True,50.621914,6.304126,513.365173339843,4.0,3.0,1.0,2.0,Grasslands,GRA,*
DE-RuS,2014-01-01,2021-01-01,2011-01-01,2020-01-01,True,50.865906,6.4471445,102.523391723632,1.0,0.0,1.0,2.0,Croplands,CRO,https://www.sciencedirect.com/science/article/pii/S0034425722004308
