station_name,latitude,longitude,elevation,height_canopy,sd_height_canopy,Site type (IGBP)
BE-Bra,51.30761,4.51984,32.031333923339844,23,7,evergreen needleleaf forests
BE-Dor,50.311874,4.968113,246.6483459472656,4,4,grasslands
BE-Lon,50.55162,4.746234,168.59030151367188,0,0,croplands
BE-Maa,50.97987,5.631851,85.89543151855469,12,9,closed shrublands
BE-Vie,50.304962,5.998099,493.2351989746094,35,7,mixed forests
CZ-BK1,49.502075,18.536882,882.0344848632812,25,8,evergreen needleleaf forests
CZ-Lnz,48.68155,16.946331,181.3612365722656,28,8,deciduous broadleaf forests
CZ-KrP,49.573257,15.078773,543.7374877929688,0,0,croplands
CZ-RAJ,49.4437236,16.6965125,652.349609375,31,8,evergreen Needleleaf Forests
CZ-Stn,17.9699,49.03597,476.0252075195313,0,0,deciduous broadleaf forests
CZ-wet,14.7704,49.0247,1180.554931640625,0,0,wetlands
DK-Sor,55.48587,11.644645,,25,9,deciduous broadleaf forests
FI-Hyy,61.84741,24.29477,187.5264129638672,18,8,evergreen needleleaf forests
FI-Ken,67.98721,24.24301,350.9222717285156,17,9,evergreen needleleaf forests
FI-Let,60.64183,23.95952,123.89830017089844,28,8,evergreen needleleaf forests
FI-Sii,61.83265,24.19285,166.5739288330078,4,2,permanent wetlands
FI-Var,67.7549,29.61,395.987060546875,5,5,evergreen needleleaf forests
FI-Qvd,60.295242,22.391607,5.679937362670898,4,2,croplands
FR-Aur,43.54965,1.106103,244.3140106201172,0,0,croplands
FR-Bil,44.493652,-0.956092,38.83230209350586,13,6,evergreen needleleaf forests
FR-FBn,43.24079,5.67865,434.5260620117188,17,5,evergreen needleleaf forests
FR-Fon,48.476357,2.780096,113.32263946533205,26,6,deciduous broadleaf forests
FR-Gri,48.84422,1.95191,121.96275329589844,0,0,croplands
FR-Hes,48.6741,7.06465,320.8886108398437,21,7,deciduous broadleaf forests
FR-Lam,43.496437,1.237878,178.97254943847656,0,0,croplands
FR-LGt,47.322918,2.284102,154.74169921875,15,7,permanent wetlands
FR-Tou,43.572857,1.37474,157.20718383789062,0,0,grasslands
GF-Guy,5.2787,-52.9248,53.02915954589844,37,8,evergreen broadleaf forests
DE-Geb,51.09973,10.91463,161.36648559570312,0,0,croplands
DE-Gri,50.95004,13.51259,377.0952758789063,5,4,grasslands
DE-Hai,51.079407,10.452089,468.2496643066406,28,6,deciduous broadleaf forests
DE-HoH,52.08656,11.22235,215.80929565429688,32,8,deciduous broadleaf forests
DE-Hzd,50.96381,13.48978,383.2720642089844,15,8,deciduous broadleaf forests
DE-Kli,50.89306,13.52238,480.1984558105469,0,1,croplands
DE-RuR,50.621914,6.304126,513.3651733398438,4,3,grasslands
DE-RuS,50.865906,6.4471445,102.5233917236328,0,0,croplands
DE-RuW,50.50493,6.3309627,627.1288452148438,35,7,evergreen needleleaf forests
DE-Tha,50.96256,13.56515,408.6813659667969,32,8,evergreen needleleaf forests
DE-Akm,53.86617,13.68342,0.2414004504680633,13,6,wetlands
DE-Obe,50.78666,13.72129,744.2780151367188,27,8,evergreen needleleaf forests
IL-Yat,31.34504,35.05198,658.435546875,2,6,evergreen needleleaf forests
IT-BCi,40.52375,14.957444,10.135361671447754,0,1,croplands
IT-Cp2,41.704266,12.357293,18.4133243560791,18,5,mixed forests
IT-Lsn,45.740482,12.750297,-0.1842822283506393,5,4,open shrublands
IT-MBo,46.01468,11.045831,1556.3450927734375,9,7,grasslands
IT-Ren,46.58686,11.43369,1749.93994140625,29,7,evergreen needleleaf forests
IT-SR2,43.73202,10.29091,13.85927677154541,29,7,evergreen needleleaf forests
IT-Tor,45.84444,7.578055,2161.397705078125,0,1,grasslands
IT-Lav,45.9562,11.28132,1367.5921630859375,32,7,evergreen needleleaf forests
NL-Spe,52.255,5.690278,65.15446472167969,27,7,evergreen needleleaf forests
RU-Fy2,56.447603,32.901878,277.86151123046875,34,8,evergreen needleleaf forests
RU-Fyo,56.4615,32.9221,278.1734619140625,32,7,evergreen needleleaf forests
ES-Abr,38.701839,-6.785881,279.9830627441406,0,0,savannas
ES-Agu,36.940046,-2.033208,201.7076568603516,0,0,open shrublands
ES-Cnd,37.914998,-3.227659,367.72662353515625,0,0,woody savannas
ES-LJu,36.926594,-2.752115,1613.89501953125,0,0,open shrublands
ES-LM1,39.94269,-5.778683,264.1048583984375,0,1,savannas
ES-LM2,39.934592,-5.775881,268.69921875,0,1,savannas
SE-Deg,64.18203,19.55654,265.4534606933594,3,2,permanent wetlands
SE-Htm,56.09763,13.41897,120.50347137451172,27,8,evergreen needleleaf forests
SE-Nor,60.0865,17.479504,,31,10,evergreen needleleaf forests
SE-Svb,64.25611,19.7745,277.85845947265625,10,9,evergreen needleleaf forests
SE-Ros,64.1725,19.738,168.96144104003906,12,9,evergreen needleleaf forests
CH-Dav,46.81533,9.85591,1657.424072265625,33,9,evergreen needleleaf forests
CH-Aws,46.583194,9.790417,1976.194580078125,15,10,grasslands
CH-Cha,47.210222,8.410444,391.4123229980469,5,5,grasslands
CH-Fru,47.115833,8.537778,981.6561279296876,6,6,grasslands
CH-Oe2,47.286417,7.73375,451.9080200195313,0,0,croplands
