Site_code,Start_Year_Threshold,End_Year_Threshold,Actual_Start_Year,Actual_End_Year
BE_Bra,2011-01-01,2015-01-01,1996-01-01,2020-01-01
BE_Dor,2011-01-01,2016-01-01,2011-01-01,2020-01-01
BE_Lcr,,,2019-01-01,2020-01-01
BE_Lon,2010-01-01,2016-01-01,2004-01-01,2020-01-01
BE_Maa,,,2016-01-01,2020-01-01
BE_Vie,2000-01-01,2003-01-01,1996-01-01,2020-01-01
CH_Aws,,,2006-01-01,2020-01-01
CH_Cha,2008-01-01,2012-01-01,2005-01-01,2020-01-01
CH_Dav,2000-01-01,2019-01-01,1997-01-01,2020-01-01
CH_Fru,2008-01-01,2011-01-01,2005-01-01,2020-01-01
CH_Lae,2005-01-01,2019-01-01,2004-01-01,2020-01-01
CH_Oe2,2010-01-01,2013-01-01,2004-01-01,2020-01-01
CZ_BK1,2014-01-01,2019-01-01,2004-01-01,2020-01-01
CZ_KrP,2014-01-01,2018-01-01,2014-01-01,2020-01-01
CZ_Lnz,2015-01-01,2017-01-01,2015-01-01,2020-01-01
CZ_RAJ,2012-01-01,2019-01-01,2012-01-01,2020-01-01
CZ_Stn,2014-01-01,2019-01-01,2010-01-01,2020-01-01
CZ_wet,2007-01-01,2016-01-01,2006-01-01,2020-01-01
DE_Akm,,,2009-01-01,2020-01-01
DE_Geb,2001-01-01,2019-01-01,2001-01-01,2020-01-01
DE_Gri,2012-01-01,2019-01-01,2004-01-01,2020-01-01
DE_Hai,2005-01-01,2005-01-01,2000-01-01,2020-01-01
DE_HoH,2015-01-01,2019-01-01,2015-01-01,2020-01-01
DE_Hzd,,,2010-01-01,2020-01-01
DE_Kli,2006-01-01,2009-01-01,2004-01-01,2020-01-01
DE_Obe,2012-01-01,2012-01-01,2008-01-01,2020-01-01
DE_RuR,2013-01-01,2016-01-01,2011-01-01,2020-01-01
DE_RuS,2015-01-01,2016-01-01,2011-01-01,2020-01-01
DE_RuW,,,2012-01-01,2020-01-01
DE_Tha,2000-01-01,2019-01-01,1996-01-01,2020-01-01
DK_Gds,,,2020-01-01,2020-01-01
DK_Sor,2006-01-01,2010-01-01,1996-01-01,2020-01-01
ES_Abr,2016-01-01,2020-01-01,2015-01-01,2020-01-01
ES_Agu,2010-01-01,2012-01-01,2006-01-01,2020-01-01
ES_Cnd,,,2014-01-01,2020-01-01
ES_LJu,2011-01-01,2013-01-01,2004-01-01,2020-01-01
ES_LM1,2015-01-01,2020-01-01,2014-01-01,2020-01-01
ES_LM2,2015-01-01,2020-01-01,2014-01-01,2020-01-01
FI_Hyy,2006-01-01,2013-01-01,1996-01-01,2020-01-01
FI_Ken,2018-01-01,2019-01-01,2018-01-01,2020-01-01
FI_Let,2012-01-01,2016-01-01,2009-01-01,2020-01-01
FI_Qvd,2019-01-01,2020-01-01,2018-01-01,2020-01-01
FI_Sii,2017-01-01,2017-01-01,2016-01-01,2020-01-01
FI_Var,2016-01-01,2020-01-01,2016-01-01,2020-01-01
FR_Aur,2015-01-01,2019-01-01,2005-01-01,2020-01-01
FR_Bil,2015-01-01,2016-01-01,2014-01-01,2020-01-01
FR_FBn,2008-01-01,2019-01-01,2008-01-01,2020-01-01
FR_Fon,2006-01-01,2013-01-01,2005-01-01,2020-01-01
FR_Gri,2005-01-01,2014-01-01,2004-01-01,2020-01-01
FR_Hes,2014-01-01,2020-01-01,2014-01-01,2020-01-01
FR_Lam,2006-01-01,2010-01-01,2005-01-01,2020-01-01
FR_LGt,,,2017-01-01,2020-01-01
FR_Tou,2018-01-01,2019-01-01,2018-01-01,2020-01-01
GF_Guy,2007-01-01,2014-01-01,2004-01-01,2020-01-01
GL_Dsk,,,2020-01-01,2020-01-01
IE_Cra,,,2020-01-01,2020-01-01
IL_Yat,2016-01-01,2020-01-01,2000-01-01,2020-01-01
IT_BCi,2007-01-01,2007-01-01,2004-01-01,2020-01-01
IT_BFt,2019-01-01,2020-01-01,2019-01-01,2020-01-01
IT_Cp2,2015-01-01,2016-01-01,2012-01-01,2020-01-01
IT_Lav,2005-01-01,2005-01-01,2003-01-01,2020-01-01
IT_Lsn,2017-01-01,2018-01-01,2016-01-01,2020-01-01
IT_MBo,2004-01-01,2007-01-01,2003-01-01,2020-01-01
IT_Ren,2014-01-01,2016-01-01,1999-01-01,2020-01-01
IT_SR2,2013-01-01,2016-01-01,2013-01-01,2020-01-01
IT_Tor,2013-01-01,2019-01-01,2008-01-01,2020-01-01
RU_Fy2,2016-01-01,2020-01-01,2015-01-01,2020-01-01
RU_Fyo,2014-01-01,2016-01-01,1998-01-01,2020-01-01
SE_Deg,2008-01-01,2011-01-01,2001-01-01,2020-01-01
SE_Htm,2019-01-01,2020-01-01,2015-01-01,2020-01-01
SE_Nor,2017-01-01,2020-01-01,2014-01-01,2020-01-01
SE_Ros,2015-01-01,2020-01-01,2014-01-01,2020-01-01
SE_Svb,2019-01-01,2020-01-01,2014-01-01,2020-01-01
